Aotus miconax,,,,,,,,,,,,,,,,,,,
Aotus nancymaae,,,,,,,,,,,,,,,,,,,
Aotus nigriceps,,,,,,,,,,,,,,,,,,,
Aotus trivirgatus,,,,,,,,,,,,,,,,,,,
Aotus vociferans,,,,,,,,,,,,,,,,,,,
Aotus zonalis,,,,,,,,,,,,,,,,,,,
Aplodontia rufa,Anisonyx rufa,,,,,,,,,,,,,,,,,,
Apodemus agrarius,,,,,,,,,,,,,,,,,,,
Apodemus alpicola,,,,,,,,,,,,,,,,,,,
Apodemus argenteus,,,,,,,,,,,,,,,,,,,
Apodemus avicennicus,,,,,,,,,,,,,,,,,,,
Apodemus chevrieri,,,,,,,,,,,,,,,,,,,
Apodemus draco,,,,,,,,,,,,,,,,,,,
Apodemus epimelas,,,,,,,,,,,,,,,,,,,
Apodemus flavicollis,Apodemus arianus,Apodemus ponticus,,,,,,,,,,,,,,,,,
Apodemus gurkha,Apodemus flavicollis subspecies gurkha,,,,,,,,,,,,,,,,,,
Apodemus hyrcanicus,,,,,,,,,,,,,,,,,,,
Apodemus latronum,,,,,,,,,,,,,,,,,,,
Apodemus mystacinus,,,,,,,,,,,,,,,,,,,
Apodemus pallipes,Apodemus wardi,,,,,,,,,,,,,,,,,,
Apodemus peninsulae,Apodemus giliacus,Apodemus majusculus,Apodemus rufulus,Apodemus tscherga,,,,,,,,,,,,,,,
Apodemus ponticus,,,,,,,,,,,,,,,,,,,
Apodemus rusiges,,,,,,,,,,,,,,,,,,,
Apodemus semotus,,,,,,,,,,,,,,,,,,,
Apodemus speciosus,Micromys speciosus subspecies ainu,,,,,,,,,,,,,,,,,,
Apodemus sylvaticus,,,,,,,,,,,,,,,,,,,
Apodemus uralensis,,,,,,,,,,,,,,,,,,,
Apodemus witherbyi,Apodemus fulvipectus,Apodemus hermonensis,,,,,,,,,,,,,,,,,
Apomys abrae,,,,,,,,,,,,,,,,,,,
Apomys aurorae,,,,,,,,,,,,,,,,,,,
Apomys banahao,,,,,,,,,,,,,,,,,,,
Apomys brownorum,,,,,,,,,,,,,,,,,,,
Apomys camiguinensis,,,,,,,,,,,,,,,,,,,
Apomys datae,,,,,,,,,,,,,,,,,,,
Apomys gracilirostris,,,,,,,,,,,,,,,,,,,
Apomys hylocetes,Apomys hylocoetes,,,,,,,,,,,,,,,,,,
Apomys insignis,,,,,,,,,,,,,,,,,,,
Apomys littoralis,,,,,,,,,,,,,,,,,,,
Apomys magnus,,,,,,,,,,,,,,,,,,,
Apomys microdon,,,,,,,,,,,,,,,,,,,
Apomys minganensis,,,,,,,,,,,,,,,,,,,
Apomys musculus,,,,,,,,,,,,,,,,,,,
Apomys sacobianus,,,,,,,,,,,,,,,,,,,
Apomys sierrae,,,,,,,,,,,,,,,,,,,
Apomys zambalensis,,,,,,,,,,,,,,,,,,,
Aproteles bulmerae,,,,,,,,,,,,,,,,,,,
Arabitragus jayakari,Hemitragus jayakari,,,,,,,,,,,,,,,,,,
Arborimus albipes,,,,,,,,,,,,,,,,,,,
Arborimus longicaudus,,,,,,,,,,,,,,,,,,,
Arborimus pomo,,,,,,,,,,,,,,,,,,,
Archboldomys luzonensis,,,,,,,,,,,,,,,,,,,
Archboldomys maximus,,,,,,,,,,,,,,,,,,,
Arctictis binturong,Viverra binturong,,,,,,,,,,,,,,,,,,
Arctocebus aureus,,,,,,,,,,,,,,,,,,,
Arctocebus calabarensis,Perodicticus calabarensis,,,,,,,,,,,,,,,,,,
Arctocephalus australis,Arctophoca australis,,,,,,,,,,,,,,,,,,
Arctocephalus forsteri,Arctocephalus australis subspecies forsteri,Arctophoca australis subspecies forsteri,,,,,,,,,,,,,,,,,
Arctocephalus galapagoensis,Arctocephalus australis subspecies galapagoensis,Arctophoca australis subspecies galapagoensis,Arctophoca galapagoensis,,,,,,,,,,,,,,,,
Arctocephalus gazella,Arctocephalus tropicalis subspecies gazella,Arctophoca gazella,,,,,,,,,,,,,,,,,
Arctocephalus philippii,,,,,,,,,,,,,,,,,,,
Arctocephalus pusillus,Phoca pusilla,,,,,,,,,,,,,,,,,,
Arctocephalus townsendi,,,,,,,,,,,,,,,,,,,
Arctocephalus tropicalis,Arctocephalus elegans,Arctocephalus tropicalis subspecies tropicalis,Arctophoca tropicalis,Gypsophoca tropicalis,,,,,,,,,,,,,,,
Arctogalidia trivirgata,Paradoxurus trivirgatus,,,,,,,,,,,,,,,,,,
Arctonyx albogularis,Arctonyx collaris subspecies albogularis,Arctonyx isonyx,Arctonyx leucolaemus subspecies milneedwardsii,Arctonyx leucolaemus subspecies orestes,Arctonyx obscurus subspecies incultus,Arctonyx taxoides,Meles albogularis,Meles leucolaemus,,,,,,,,,,,
Arctonyx collaris,Arctonyx dictator,Arctonyxannaeus ,,,,,,,,,,,,,,,,,
Arctonyx hoevenii,Arctonyx collaris subspecies hoevenii,Trichomanis hoevenii,,,,,,,,,,,,,,,,,
Ardops nichollsi,,,,,,,,,,,,,,,,,,,
Arielulus aureocollaris,Thainycteris aureocollaris,,,,,,,,,,,,,,,,,,
Arielulus circumdatus,Pipistrellus circumdatus,Vespertilio circumdatus,,,,,,,,,,,,,,,,,
Arielulus cuprosus,Pipistrellus cuprosus,,,,,,,,,,,,,,,,,,
Arielulus societatis,Pipistrellus societatis,,,,,,,,,,,,,,,,,,
Arielulus torquatus,,,,,,,,,,,,,,,,,,,
Ariteus flavescens,,,,,,,,,,,,,,,,,,,
Artibeus amplus,,,,,,,,,,,,,,,,,,,
Artibeus concolor,,,,,,,,,,,,,,,,,,,
Artibeus fimbriatus,,,,,,,,,,,,,,,,,,,
Artibeus fraterculus,,,,,,,,,,,,,,,,,,,
Artibeus hirsutus,,,,,,,,,,,,,,,,,,,
Artibeus inopinatus,,,,,,,,,,,,,,,,,,,
Artibeus jamaicensis,,,,,,,,,,,,,,,,,,,
Artibeus lituratus,Artibeus intermedius,,,,,,,,,,,,,,,,,,
Artibeus obscurus,,,,,,,,,,,,,,,,,,,
Artibeus planirostris,,,,,,,,,,,,,,,,,,,
Artibeus schwartzi,,,,,,,,,,,,,,,,,,,
Arvicanthis abyssinicus,,,,,,,,,,,,,,,,,,,
Arvicanthis ansorgei,,,,,,,,,,,,,,,,,,,
Arvicanthis blicki,,,,,,,,,,,,,,,,,,,
Arvicanthis nairobae,,,,,,,,,,,,,,,,,,,
Arvicanthis neumanni,Arvicanthis somalicus,,,,,,,,,,,,,,,,,,
